caption,cosine
"a stag standing in a sunlit, overgrown library",0.4243
a stag in a dusty library with light rays,0.4194
a deer with antlers in a sunlit library,0.4155
a stag lit by golden sunbeams in a library filled with books,0.4116
a deer in a grand library with sunlight streaming through windows,0.4045
a deer in a cathedral-like library,0.3987
a majestic stag inside a library,0.387
a stag in a grand hall of books,0.3866
a stag in an old library with vines and bookshelves,0.382
a stag in a library,0.3794
a deer in a library,0.3759
a deer standing in an ivy-covered library,0.3675
a sunlit library,0.3257
a deer with antlers,0.2688
